1883.78 2016-11-08 11:36:00
1883.78 2016-11-08 11:37:11
1915.9 2016-11-08 11:38:22
1969.15 2016-11-08 11:39:33
1981.77 2016-11-08 11:40:43
1977.07 2016-11-08 11:41:54
2064.75 2016-11-08 11:43:04
2064.75 2016-11-08 11:44:16
2140.34 2016-11-08 11:45:26
2078.15 2016-11-08 11:46:37
2072.54 2016-11-08 11:47:48
2126.11 2016-11-08 11:48:59
2187.62 2016-11-08 11:50:10
2251.27 2016-11-08 11:51:21
2247.78 2016-11-08 11:52:32
2271.05 2016-11-08 11:53:43
2274.65 2016-11-08 11:54:56
2168.24 2016-11-08 12:02:58
2165.93 2016-11-08 12:04:09
2154.81 2016-11-08 12:05:21
2169.98 2016-11-08 12:06:31
2122.84 2016-11-08 12:07:42
2128.41 2016-11-08 12:08:54
2079.86 2016-11-08 12:10:05
2088.72 2016-11-08 12:12:26
2234.44 2016-11-08 12:13:37
2204.33 2016-11-08 12:14:47
2068.58 2016-11-08 12:15:57
1993.45 2016-11-08 12:18:19
2002.54 2016-11-08 12:19:30
1955.96 2016-11-08 12:20:40
2020.68 2016-11-08 12:24:45
2057.3 10285.57 2016-11-08 12:25:45
2068.9 10285.57 2016-11-08 12:26:56
2026.96 10285.57 2016-11-08 12:28:05
2018.68 10285.57 2016-11-08 12:29:16
1969.92 10285.57 2016-11-08 12:30:33
1898.18 10285.57 2016-11-08 12:31:43
1860.26 10285.57 2016-11-08 12:34:12
1860.26 10285.57 2016-11-08 12:35:22
1785.36 10285.57 2016-11-08 12:36:32
1714.21 10285.57 2016-11-08 12:37:42
1729.44 10285.57 2016-11-08 12:38:53
1736.51 10285.57 2016-11-08 12:40:03
1804.18 10285.57 2016-11-08 12:42:26
1783.87 10285.57 2016-11-08 12:44:54
1690.95 10285.57 2016-11-08 12:48:30
1690.95 10285.57 2016-11-08 12:48:47
1836.19 10285.57 2016-11-08 12:53:57
1591.63 10285.57 2016-11-08 12:59:07
1565.33 10285.57 2016-11-08 13:04:17
1654.23 10285.57 2016-11-08 13:09:27
1526.39 10285.57 2016-11-08 13:14:37
1476.04 10285.57 2016-11-08 13:19:47
1552.07 10285.57 2016-11-08 13:24:58
1552.3 10285.57 2016-11-08 13:30:08
1686 10285.57 2016-11-08 13:35:35
1685.09 10285.57 2016-11-08 13:40:57
1638.18 10285.57 2016-11-08 13:46:08
1585.27 10285.57 2016-11-08 13:51:18
1349.41 10285.57 2016-11-08 13:56:42
1552.44 10285.57 2016-11-08 14:01:53
1487.19 10285.57 2016-11-08 14:07:03
1489.38 10285.57 2016-11-08 14:12:13
1566.14 10285.57 2016-11-08 14:17:23
1524.44 10285.57 2016-11-08 14:22:36
1373.68 10285.57 2016-11-08 14:27:47
1423.36 10285.57 2016-11-08 14:32:57
1391.79 10285.57 2016-11-08 14:38:07
1419.46 10285.57 2016-11-08 14:58:13
1433.02 10285.57 2016-11-08 15:03:23
1317.7 10285.57 2016-11-08 15:08:49
1325.61 10285.57 2016-11-08 15:14:00
1309.45 10285.57 2016-11-08 15:19:10
1249.12 10285.57 2016-11-08 15:24:20
1286.09 10285.57 2016-11-08 15:29:30
1242 10285.57 2016-11-08 15:34:42
1195.7 10285.57 2016-11-08 15:39:52
1310.17 10285.57 2016-11-08 15:45:02
1272.78 10285.57 2016-11-08 15:50:13
1403.2 10285.57 2016-11-08 15:55:23
1427.89 10285.57 2016-11-08 16:00:33
1364.83 10285.57 2016-11-08 16:05:43
1173.62 10285.57 2016-11-08 16:11:06
1203.1 10285.57 2016-11-08 16:16:18
1134.69 10285.57 2016-11-08 16:21:30
1251.5 10285.57 2016-11-08 16:26:40
1250.6 10285.57 2016-11-08 16:31:51
1287.51 10285.57 2016-11-08 16:37:02
1196.28 10285.57 2016-11-08 16:42:13
1272.84 10285.57 2016-11-08 16:45:56
1272.84 10285.57 2016-11-08 16:46:20
1265.6 10285.57 2016-11-08 16:51:30
1386.18 10285.57 2016-11-08 16:56:40
1440.49 10285.57 2016-11-08 17:01:49
1454.61 10285.57 2016-11-08 17:07:00
1308.72 10285.57 2016-11-08 17:12:09
1292.13 10285.57 2016-11-08 17:17:19
1249.45 10285.57 2016-11-08 17:22:29
1353.37 10285.57 2016-11-08 17:27:39
1520.95 10285.57 2016-11-08 17:32:49
1398.05 10285.57 2016-11-08 17:37:59
1374.38 10285.57 2016-11-08 17:43:09
1358.87 10285.57 2016-11-08 17:48:19
1217.71 10285.57 2016-11-08 17:53:29
1165.47 10285.57 2016-11-08 17:58:40
1187.4 10285.57 2016-11-08 18:03:50
1285.56 10285.57 2016-11-08 18:09:01
1340.85 10285.57 2016-11-08 18:14:11
1398.82 10285.57 2016-11-08 18:19:21
1458.05 10285.57 2016-11-08 18:24:31
1651.73 10285.57 2016-11-08 18:29:56
1732.35 10285.57 2016-11-08 18:35:06
1753.28 10285.57 2016-11-08 18:40:16
1868.49 10285.57 2016-11-08 18:45:25
1812.73 10285.57 2016-11-08 18:50:35
1887.06 10285.57 2016-11-08 18:55:45
1673.83 10285.57 2016-11-08 19:01:08
1719.61 10285.57 2016-11-08 19:06:18
1497.44 10285.57 2016-11-08 19:11:28
1405.89 10285.57 2016-11-08 19:16:39
1282.3 10285.57 2016-11-08 19:21:49
1321.25 10285.57 2016-11-08 19:26:58
1361.67 10285.57 2016-11-08 19:32:08
1457.8 10285.57 2016-11-08 19:37:18
1281.27 10285.57 2016-11-08 19:42:29
1246.27 10285.57 2016-11-08 19:47:39
1341.32 10285.57 2016-11-08 19:52:49
1340.32 10285.57 2016-11-08 19:57:59
1273.81 10285.57 2016-11-08 20:03:09
1172.99 10285.57 2016-11-08 20:08:18
1030.93 10285.57 2016-11-08 20:13:28
990.39 10285.57 2016-11-08 20:18:38
938.13 10285.57 2016-11-08 20:23:48
937.83 10285.57 2016-11-08 20:28:58
884.8 10285.57 2016-11-08 20:34:08
774.39 10285.57 2016-11-08 20:39:18
751.54 10285.57 2016-11-08 20:44:41
778.81 10285.57 2016-11-08 20:49:51
794.55 10285.57 2016-11-08 20:55:02
742.34 10285.57 2016-11-08 21:00:12
742.05 10285.57 2016-11-08 21:05:22
740.88 10285.57 2016-11-08 21:10:32
789.91 10285.57 2016-11-08 21:15:42
751.12 10285.57 2016-11-08 21:20:52
725.39 10285.57 2016-11-08 21:26:02
752.46 10285.57 2016-11-08 21:31:13
743.91 10285.57 2016-11-08 21:36:23
723.9 10285.57 2016-11-08 21:41:33
747.85 10285.57 2016-11-08 21:46:57
702.79 10285.57 2016-11-08 21:52:07
715.3 10285.57 2016-11-08 21:57:51
694.62 10285.57 2016-11-08 22:03:14
749.8 10285.57 2016-11-08 22:08:24
728.43 10285.57 2016-11-08 22:13:45
754.07 10285.57 2016-11-08 22:18:55
731.98 10285.57 2016-11-08 22:24:04
727.84 10285.57 2016-11-08 22:29:14
720.51 10285.57 2016-11-08 22:34:24
712.84 10285.57 2016-11-08 22:39:34
755.62 10285.57 2016-11-08 22:44:44
686.02 10285.57 2016-11-08 22:49:54
705.52 10285.57 2016-11-08 22:55:03
692.5 10285.57 2016-11-08 23:00:13
696.26 10285.57 2016-11-08 23:05:33
690.92 10285.57 2016-11-08 23:10:43
688.76 10285.57 2016-11-08 23:15:53
714.52 10285.57 2016-11-08 23:21:04
710.24 10285.57 2016-11-08 23:26:14
689.76 10285.57 2016-11-08 23:31:37
674.73 10285.57 2016-11-08 23:36:47
686.53 10285.57 2016-11-08 23:41:58
679.18 10285.57 2016-11-08 23:47:07
689.02 10285.57 2016-11-08 23:52:18
685.48 10285.57 2016-11-08 23:57:27
685.66 10285.57 2016-11-09 00:02:51
700.69 10285.57 2016-11-09 00:08:01
648.57 10285.57 2016-11-09 00:13:11
644.27 10285.57 2016-11-09 00:18:21
643.52 10285.57 2016-11-09 00:23:31
659.11 10285.57 2016-11-09 00:28:41
634.68 10285.57 2016-11-09 00:33:51
634.43 10285.57 2016-11-09 00:39:00
634.12 10285.57 2016-11-09 00:44:10
644.88 10285.57 2016-11-09 00:49:21
655.45 10285.57 2016-11-09 00:54:31
628.78 10285.57 2016-11-09 00:59:41
641.41 10285.57 2016-11-09 01:04:52
656.94 10285.57 2016-11-09 01:10:02
671.79 10285.57 2016-11-09 01:15:12
642 10285.57 2016-11-09 01:20:22
633.36 10285.57 2016-11-09 01:25:31
652.61 10285.57 2016-11-09 01:31:51
657.04 10285.57 2016-11-09 01:37:01
658.15 10285.57 2016-11-09 01:42:21
646.29 10285.57 2016-11-09 01:47:31
659.14 10285.57 2016-11-09 01:53:21
639.71 10285.57 2016-11-09 01:58:32
641.89 10285.57 2016-11-09 02:03:41
633.49 10285.57 2016-11-09 02:08:51
634.99 10285.57 2016-11-09 02:14:02
620 10285.57 2016-11-09 02:19:12
636.31 10285.57 2016-11-09 02:24:22
640.63 10285.57 2016-11-09 02:29:32
623.23 10285.57 2016-11-09 02:34:42
664.46 10285.57 2016-11-09 02:39:52
639.95 10285.57 2016-11-09 02:45:02
654.19 10285.57 2016-11-09 02:50:12
642.51 10285.57 2016-11-09 02:55:23
653.34 10285.57 2016-11-09 03:00:33
653.42 10285.57 2016-11-09 03:05:42
629.67 10285.57 2016-11-09 03:10:52
638.78 10285.57 2016-11-09 03:16:02
643.36 10285.57 2016-11-09 03:21:12
659.56 10285.57 2016-11-09 03:26:22
627.57 10285.57 2016-11-09 03:31:32
598.89 10285.57 2016-11-09 03:36:42
597.86 10285.57 2016-11-09 03:41:52
617.36 10285.57 2016-11-09 03:47:02
615.3 10285.57 2016-11-09 03:52:12
613.59 10285.57 2016-11-09 03:57:22
614.98 10285.57 2016-11-09 04:02:45
622.02 10285.57 2016-11-09 04:07:55
666.15 10285.57 2016-11-09 04:13:05
695.2 10285.57 2016-11-09 04:18:29
670.49 10285.57 2016-11-09 04:23:39
661.32 10285.57 2016-11-09 04:28:49
650.24 10285.57 2016-11-09 04:33:58
658.08 10285.57 2016-11-09 04:39:09
615.81 10285.57 2016-11-09 04:44:19
617.42 10285.57 2016-11-09 04:49:30
623.46 10285.57 2016-11-09 04:54:40
619.42 10285.57 2016-11-09 04:59:49
614.15 10285.57 2016-11-09 05:05:00
607.97 10285.57 2016-11-09 05:10:10
615.02 10285.57 2016-11-09 05:15:20
611.16 10285.57 2016-11-09 05:20:30
614.95 10285.57 2016-11-09 05:25:40
617.11 10285.57 2016-11-09 05:30:50
615.5 10285.57 2016-11-09 05:36:00
